,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
111,9.1047497,51.6078606,4.001,2.888,7.027,296.6,53.0,-178.01,5.28,0.0
40,8.9195414,51.5175552,-2.908,-2.53,5.836,670.2,63.1,-378.21,3.83,1.0
160,8.9460831,51.5887794,-1.918,1.743,3.979,336.1,51.4,-378.45,4.63,1.0
171,9.1621246,51.6114731,6.141,3.105,8.733,163.3,45.4,-375.25,6.02,1.0
32,8.9543333,51.5564461,-1.61,-0.197,1.658,337.8,53.5,-362.43,2.14,1.0
16,9.0288334,51.564724,1.169,0.3,1.314,273.2,44.1,-377.96,4.28,1.0
117,8.9360418,51.6085014,-2.293,2.927,6.286,390.2,64.5,-358.43,4.35,1.0
183,9.175292,51.5386391,6.632,-1.265,7.098,222.1,45.6,-350.2,4.86,0.99
66,8.7299995,51.5233879,-9.978,-2.18,10.889,154.6,51.8,-366.46,5.86,1.0
134,9.1734581,51.5731125,6.564,0.803,6.757,171.4,40.9,-360.08,5.23,1.0
199,9.0225,51.5412216,0.933,-1.11,2.408,673.9,55.0,-358.55,3.81,1.0
121,8.8975,51.5989151,-3.73,2.352,6.003,269.9,46.7,-372.14,3.53,1.0
69,8.9684582,51.5625572,-1.083,0.17,1.135,255.2,50.4,-367.74,4.81,1.0
9,9.0646248,51.5123596,2.504,-2.842,6.211,242.2,47.7,-377.81,4.88,1.0
211,8.8956671,51.5248871,-3.799,-2.09,5.648,217.1,52.3,-349.61,5.3,0.99
200,9.0200415,51.5535011,0.841,-0.373,1.124,265.4,60.7,-374.74,5.42,1.0
70,9.1259584,51.5796928,4.792,1.198,5.358,345.0,62.6,-366.98,4.38,1.0
178,9.2333336,51.5486679,8.797,-0.663,8.896,355.8,46.1,-373.21,4.23,1.0
39,8.9222088,51.5084457,-2.809,-3.077,6.764,255.9,53.3,-385.41,5.12,1.0
63,8.7699585,51.5541954,-8.488,-0.332,8.514,366.6,56.0,-362.54,4.46,1.0
14,9.0345831,51.5339165,1.383,-1.548,3.392,225.8,43.9,-379.72,4.68,1.0
170,9.2348747,51.6128349,8.855,3.187,10.91,197.0,38.6,-369.31,4.9,1.0
124,8.8675003,51.6078873,-4.849,2.89,7.545,236.5,49.5,-371.16,5.31,1.0
74,9.1013746,51.5738335,3.875,0.847,4.229,207.1,51.2,-386.0,6.06,1.0
89,8.9780836,51.5884171,-0.724,1.722,3.519,516.0,47.1,-364.19,2.78,1.0
53,8.8630829,51.5178871,-5.014,-2.51,7.095,447.1,55.8,-386.94,3.93,1.0
7,9.0710421,51.5655823,2.743,0.352,2.832,226.2,44.3,-382.76,5.04,1.0
214,9.0032501,51.5463066,0.214,-0.805,1.624,234.6,49.0,-376.93,4.97,1.0
43,8.8997917,51.5516663,-3.645,-0.483,3.771,153.9,43.5,-345.04,6.26,0.95
197,9.0334167,51.5550537,1.34,-0.28,1.452,387.0,46.7,-363.51,4.07,1.0
13,9.0412083,51.5094185,1.63,-3.018,6.253,444.4,54.0,-367.15,4.03,1.0
176,8.9863329,51.5604439,-0.417,0.043,0.425,183.5,40.5,-379.11,5.15,1.0
79,9.0654163,51.5656662,2.533,0.357,2.632,309.3,50.4,-379.74,2.61,1.0
109,8.7799168,51.5761948,-8.116,0.988,8.354,220.0,42.4,-381.27,4.65,1.0
12,9.0495415,51.5373878,1.941,-1.34,3.309,321.2,48.7,-374.84,2.47,1.0
3,9.1015835,51.5349731,3.882,-1.485,4.888,290.2,43.1,-382.39,4.68,1.0
126,8.7910004,51.610054,-7.703,3.02,9.788,204.7,48.6,-376.68,5.46,1.0
45,8.8922501,51.5508347,-3.926,-0.533,4.068,440.6,51.8,-379.82,2.87,1.0
153,9.0187912,51.5634995,0.794,0.227,0.914,205.5,39.6,-367.92,5.26,1.0
96,8.9447918,51.5863876,-1.966,1.6,3.756,215.9,48.8,-354.11,5.1,1.0
213,8.8837919,51.5593872,-4.242,-0.02,4.242,304.3,48.9,-379.24,4.27,1.0
72,9.1122913,51.5849724,4.282,1.515,5.246,222.8,54.0,-369.11,5.46,1.0
163,8.9297504,51.5429459,-2.527,-1.007,3.231,374.1,52.8,-369.31,2.96,1.0
169,8.8739996,51.592556,-4.607,1.97,6.062,292.0,81.4,-362.28,6.06,1.0
23,9.0044584,51.5661392,0.26,0.385,0.813,303.0,44.5,-369.9,3.31,1.0
186,9.1546249,51.5423317,5.861,-1.043,6.222,409.2,51.2,-370.96,3.94,1.0
58,8.8172503,51.5583611,-6.724,-0.082,6.726,372.1,55.5,-359.92,2.97,1.0
162,8.9324579,51.5700264,-2.426,0.618,2.723,299.3,54.1,-362.48,4.52,1.0
59,8.8069162,51.5190849,-7.109,-2.438,8.621,357.4,48.3,-380.28,4.19,1.0
194,9.0723753,51.5407791,2.793,-1.137,3.601,421.8,50.6,-371.16,4.02,1.0
130,8.7336254,51.6004982,-9.843,2.447,10.992,381.6,49.4,-373.43,4.13,1.0
102,8.8624582,51.5922508,-5.037,1.952,6.373,268.0,43.0,-375.09,4.75,1.0
123,8.8822079,51.6126671,-4.301,3.177,7.672,347.3,51.2,-360.84,4.26,1.0
205,8.9740419,51.5634727,-0.875,0.225,0.984,526.3,52.7,-364.85,3.87,1.0
172,9.128583,51.599472,4.89,2.385,6.831,340.6,38.5,-203.28,4.38,0.0
148,9.0467081,51.5875816,1.836,1.672,3.814,441.8,45.8,-377.55,4.01,1.0
122,8.8935003,51.6136665,-3.879,3.237,7.547,252.3,51.1,-367.6,4.96,1.0
151,9.0272083,51.5671959,1.108,0.448,1.426,170.1,41.7,-372.7,6.1,1.0
5,9.0761671,51.5224152,2.934,-2.238,5.353,260.9,43.2,-362.85,4.59,1.0
48,8.8835421,51.5131683,-4.251,-2.793,7.02,349.9,51.9,-384.24,4.2,1.0
