,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
42,8.9029169,51.5207481,-3.528,-2.338,5.858,284.2,46.9,-376.62,4.65,1.0
157,8.9633751,51.5544167,-1.273,-0.318,1.423,226.4,47.1,-361.76,4.91,1.0
141,9.1029587,51.5649986,3.934,0.317,3.984,396.7,41.5,-365.27,2.83,1.0
207,8.9391251,51.5506935,-2.178,-0.542,2.432,433.7,49.5,-381.16,3.86,1.0
137,9.1411667,51.5613899,5.359,0.1,5.363,306.9,43.5,-378.91,4.14,1.0
61,8.7793751,51.5360832,-8.136,-1.418,8.617,380.5,53.1,-381.9,4.23,1.0
110,8.7134581,51.5731926,-10.595,0.808,10.718,225.0,52.5,-363.48,5.13,1.0
68,8.8577919,51.5611115,-5.211,0.083,5.214,380.6,53.7,-363.73,4.1,1.0
115,9.0196667,51.5978889,0.827,2.29,4.654,233.8,45.6,-371.97,4.64,1.0
35,8.9446249,51.5514183,-1.972,-0.498,2.21,227.6,50.5,-383.61,4.87,1.0
127,8.7711668,51.6053352,-8.443,2.737,10.062,357.3,45.5,-225.92,4.65,0.0
125,8.8535833,51.6065559,-5.368,2.81,7.772,212.8,44.9,-378.57,5.35,1.0
193,9.0891666,51.5535278,3.419,-0.372,3.499,480.9,49.6,-350.11,3.88,0.99
18,9.017333,51.5363045,0.74,-1.405,2.906,286.8,48.0,-366.96,3.09,1.0
77,9.0715837,51.5487785,2.763,-0.657,3.06,495.4,57.9,-358.52,4.01,1.0
188,9.142375,51.5325012,5.404,-1.633,6.315,333.5,49.5,-361.51,4.2,1.0
85,9.0049162,51.5453339,0.277,-0.863,1.749,401.3,51.1,-373.03,4.18,1.0
44,8.8949585,51.5550537,-3.825,-0.28,3.866,383.6,51.2,-380.39,3.02,1.0
90,8.9717503,51.569416,-0.961,0.582,1.509,275.7,47.8,-365.53,3.05,1.0
4,9.0870419,51.5540848,3.34,-0.338,3.408,209.3,46.6,-383.44,5.11,1.0
120,8.9049168,51.6049461,-3.454,2.713,6.432,340.8,48.4,-388.72,3.27,1.0
139,9.124958,51.5710564,4.754,0.68,4.945,144.9,41.8,-381.97,6.18,1.0
107,8.8294163,51.5924988,-6.27,1.967,7.401,313.5,48.7,-374.29,4.3,1.0
164,8.9259996,51.5712204,-2.667,0.69,3.003,260.0,42.1,-376.26,4.7,1.0
46,8.8896666,51.5161934,-4.022,-2.612,6.593,277.6,53.8,-370.27,4.67,1.0
52,8.8686666,51.523613,-4.806,-2.167,6.471,320.7,51.8,-373.54,4.43,1.0
37,8.9289579,51.5356407,-2.557,-1.445,3.859,242.2,53.6,-387.36,5.05,1.0
195,9.0528746,51.5472488,2.066,-0.748,2.551,606.3,53.7,-372.2,3.79,1.0
198,9.0274162,51.5542221,1.116,-0.33,1.297,250.1,44.1,-370.43,4.63,1.0
161,8.9377079,51.5622482,-2.23,0.152,2.251,281.0,40.4,-379.29,4.4,1.0
131,9.0629168,51.5512238,2.44,-0.51,2.645,336.0,56.3,-370.41,2.56,1.0
49,8.880208,51.5196381,-4.375,-2.405,6.502,280.6,47.4,-389.76,4.64,1.0
105,8.8319998,51.5950279,-6.173,2.118,7.487,248.1,45.7,-365.8,4.6,1.0
202,8.998167,51.5219154,0.025,-2.268,4.537,175.7,41.9,-353.97,5.49,1.0
87,8.9918337,51.5581093,-0.211,-0.097,0.287,457.4,49.2,-369.39,2.31,1.0
75,9.0944586,51.5664177,3.617,0.402,3.705,195.0,47.8,-374.49,5.3,1.0
34,8.9486666,51.5440559,-1.822,-0.94,2.618,279.0,52.5,-358.68,3.42,1.0
33,8.9518747,51.5501938,-1.702,-0.572,2.05,419.0,63.6,-369.72,2.48,1.0
206,8.9491253,51.5719185,-1.804,0.732,2.323,317.1,48.1,-381.67,4.26,1.0
203,8.9894581,51.5408592,-0.3,-1.132,2.283,270.7,44.8,-366.96,4.67,1.0
116,9.0002918,51.5951958,0.104,2.128,4.258,326.9,46.5,-369.1,4.13,1.0
129,8.7540836,51.5986099,-9.08,2.333,10.209,270.8,45.4,-366.29,4.39,1.0
143,9.0963755,51.5871964,3.688,1.648,4.947,122.6,34.9,-360.99,6.03,1.0
100,8.902667,51.5699463,-3.537,0.613,3.744,259.4,43.9,-370.46,4.75,1.0
30,8.9589586,51.565918,-1.438,0.372,1.619,305.7,48.2,-369.12,4.49,1.0
64,8.7528334,51.5552788,-9.127,-0.267,9.142,446.8,55.1,-370.08,4.11,1.0
11,9.0560417,51.544445,2.184,-0.917,2.851,195.0,45.6,-389.43,5.76,1.0
