,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
82,344.4648743,41.3496399,-4.645,3.512,5.891,253.7,46.1,-180.47,5.92,0.96
76,344.4885864,41.3101387,-3.576,1.142,3.954,484.9,54.3,-209.11,6.48,1.0
104,344.6567078,41.4075012,4.004,6.983,14.12,475.6,50.2,-104.66,4.46,0.0
113,344.6027222,41.3024178,1.57,0.678,2.634,151.1,74.7,-185.73,9.16,0.99
57,344.5328369,41.2856941,-1.581,-0.325,2.255,325.7,48.7,-183.52,3.96,0.98
78,344.480011,41.3401108,-3.962,2.94,4.982,251.5,48.1,-184.89,4.64,0.99
159,344.5109253,41.2684174,-2.569,-1.362,4.619,307.2,60.9,-208.43,4.58,1.0
61,344.5178223,41.2892494,-2.258,-0.112,2.898,256.9,47.8,-184.25,4.5,0.98
56,344.536377,41.3207779,-1.421,1.78,2.549,190.6,52.5,-198.39,7.01,1.0
90,344.4259033,41.3502235,-6.402,3.547,7.328,373.8,46.9,-50.16,4.88,0.0
1,344.6809998,41.1973343,5.099,-5.627,8.227,621.9,64.3,-109.61,3.38,0.0
53,344.5437012,41.292778,-1.091,0.1,1.293,483.2,50.5,-189.72,2.74,0.99
