,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
5,344.6203613,41.2039719,2.365,-5.228,7.42,408.6,54.8,-150.7,4.05,0.01
117,344.5953674,41.3415565,1.238,3.027,5.692,266.2,51.1,-219.95,4.85,0.99
62,344.515625,41.3298874,-2.357,2.327,3.498,382.5,61.6,-206.28,4.72,1.0
30,344.5979309,41.2457504,1.354,-2.722,3.847,232.2,48.0,-192.54,4.62,1.0
41,344.5653381,41.2971649,-0.116,0.363,0.526,449.6,56.7,-197.32,3.62,1.0
167,344.4527893,41.2385826,-5.189,-3.152,9.843,203.2,54.1,-125.36,6.38,0.0
29,344.598114,41.2316399,1.362,-3.568,5.112,278.3,48.3,-176.14,3.97,0.91
112,344.6050415,41.2996941,1.674,0.515,2.569,388.7,68.0,-190.62,4.52,1.0
120,344.581543,41.3048897,0.615,0.827,1.802,376.4,62.5,-190.66,4.47,1.0
91,344.4213867,41.3517494,-6.605,3.638,7.552,612.7,54.8,-34.83,3.29,0.0
137,344.5583191,41.2421684,-0.432,-2.937,4.94,366.9,53.5,-207.67,4.52,1.0
25,344.5989075,41.2610817,1.398,-1.802,2.572,348.4,51.6,-193.79,3.91,1.0
6,344.6148376,41.2026405,2.116,-5.308,7.585,341.1,56.4,-33.05,4.19,0.0
17,344.6237488,41.2692223,2.518,-1.313,2.85,364.7,48.0,-105.78,3.87,0.0
93,344.4165344,41.3190269,-6.824,1.675,7.639,192.9,46.4,-207.62,5.84,1.0
84,344.4622498,41.3571129,-4.763,3.96,6.341,476.3,58.7,-186.44,3.7,0.99
75,344.4897766,41.3417206,-3.522,3.037,4.787,427.9,51.9,-189.82,4.03,0.99
73,344.4908447,41.3238335,-3.474,1.963,3.993,205.7,47.2,-199.2,5.39,1.0
